Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,5993,8,Yes,11,3,1,8,1,6,4,0
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,5130,1,No,23,4,4,10,3,10,7,1
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,2090,6,Yes,15,3,2,7,3,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,2909,1,Yes,11,3,3,8,3,8,7,3
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,3468,9,No,12,3,4,6,3,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,3068,0,No,13,3,3,8,2,7,7,3
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,2670,4,Yes,20,4,1,12,2,1,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,2693,1,No,22,4,2,1,3,1,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,9526,0,No,21,4,2,10,3,9,7,1
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,5237,6,No,13,3,2,17,2,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,2426,0,No,13,3,3,6,3,5,4,0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,4193,0,Yes,12,3,4,10,3,9,5,0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,2911,1,No,17,3,4,5,2,5,2,4
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,2661,0,No,11,3,3,3,3,2,2,1
